INSERT INTO listagiochi (emailutente, idgioco) values
('iwnrnlvxyc@akukp.zpv',94430),
('iwnrnlvxyc@akukp.zpv',9867),
('jrjovvothi@qljth.phw',12127),
('jrjovvothi@qljth.phw',13583),
('jrjovvothi@qljth.phw',14239),
('jrjovvothi@qljth.phw',20198),
('jrjovvothi@qljth.phw',20323),
('jrjovvothi@qljth.phw',20592),
('jrjovvothi@qljth.phw',21086),
('jrjovvothi@qljth.phw',21194),
('jrjovvothi@qljth.phw',21831),
('jrjovvothi@qljth.phw',24872),
('jrjovvothi@qljth.phw',25044),
('jrjovvothi@qljth.phw',25728),
('jrjovvothi@qljth.phw',26399),
('jrjovvothi@qljth.phw',26560),
('jrjovvothi@qljth.phw',2719),
('jrjovvothi@qljth.phw',28317),
('jrjovvothi@qljth.phw',30),
('jrjovvothi@qljth.phw',30855),
('jrjovvothi@qljth.phw',32527),
('jrjovvothi@qljth.phw',33777),
('jrjovvothi@qljth.phw',34791),
('jrjovvothi@qljth.phw',36011),
('jrjovvothi@qljth.phw',3654),
('jrjovvothi@qljth.phw',41827),
('jrjovvothi@qljth.phw',4206),
('jrjovvothi@qljth.phw',42463),
('jrjovvothi@qljth.phw',43095),
('jrjovvothi@qljth.phw',46808),
('jrjovvothi@qljth.phw',53664),
('jrjovvothi@qljth.phw',55460),
('jrjovvothi@qljth.phw',56142),
('jrjovvothi@qljth.phw',57032),
('jrjovvothi@qljth.phw',57748),
('jrjovvothi@qljth.phw',57770),
('jrjovvothi@qljth.phw',58467),
('jrjovvothi@qljth.phw',60118),
('jrjovvothi@qljth.phw',61541),
('jrjovvothi@qljth.phw',63380),
('jrjovvothi@qljth.phw',66949),
('jrjovvothi@qljth.phw',68439),
('jrjovvothi@qljth.phw',69604),
('jrjovvothi@qljth.phw',71360),
('jrjovvothi@qljth.phw',72549),
('jrjovvothi@qljth.phw',73147),
('jrjovvothi@qljth.phw',77626),
('jrjovvothi@qljth.phw',78220),
('jrjovvothi@qljth.phw',79031),
('jrjovvothi@qljth.phw',81102),
('jrjovvothi@qljth.phw',81173),
('jrjovvothi@qljth.phw',829),
('jrjovvothi@qljth.phw',85821),
('jrjovvothi@qljth.phw',85839),
('jrjovvothi@qljth.phw',87418),
('jrjovvothi@qljth.phw',88173),
('jrjovvothi@qljth.phw',93581),
('jrjovvothi@qljth.phw',94413),
('jrjovvothi@qljth.phw',94430),
('jrjovvothi@qljth.phw',95080),
('jrjovvothi@qljth.phw',95540),
('jrjovvothi@qljth.phw',9867),
('jvledcpbcl@dqqit.kto',13583),
('jvledcpbcl@dqqit.kto',14239),
('jvledcpbcl@dqqit.kto',16673),
('jvledcpbcl@dqqit.kto',21086),
('jvledcpbcl@dqqit.kto',21831),
('jvledcpbcl@dqqit.kto',25044),
('jvledcpbcl@dqqit.kto',30),
('jvledcpbcl@dqqit.kto',31470),
('jvledcpbcl@dqqit.kto',35823),
('jvledcpbcl@dqqit.kto',40295),
('jvledcpbcl@dqqit.kto',4133),
('jvledcpbcl@dqqit.kto',41544),
('jvledcpbcl@dqqit.kto',41859),
('jvledcpbcl@dqqit.kto',45142),
('jvledcpbcl@dqqit.kto',53664),
('jvledcpbcl@dqqit.kto',54915),
('jvledcpbcl@dqqit.kto',55615),
('jvledcpbcl@dqqit.kto',57032),
('jvledcpbcl@dqqit.kto',58467),
('jvledcpbcl@dqqit.kto',62921),
('jvledcpbcl@dqqit.kto',63380),
('jvledcpbcl@dqqit.kto',68439),
('jvledcpbcl@dqqit.kto',71843),
('jvledcpbcl@dqqit.kto',71866),
('jvledcpbcl@dqqit.kto',75337),
('jvledcpbcl@dqqit.kto',81173),
('jvledcpbcl@dqqit.kto',81923),
('jvledcpbcl@dqqit.kto',829),
('jvledcpbcl@dqqit.kto',85272),
('jvledcpbcl@dqqit.kto',85350),
('jvledcpbcl@dqqit.kto',85821),
('jvledcpbcl@dqqit.kto',87418),
('jvledcpbcl@dqqit.kto',88173),
('jvledcpbcl@dqqit.kto',88735),
('jvledcpbcl@dqqit.kto',93581),
('kfzxcymtdb@amywv.yzk',12127),
('kfzxcymtdb@amywv.yzk',14676),
('kfzxcymtdb@amywv.yzk',18412),
('kfzxcymtdb@amywv.yzk',20592),
('kfzxcymtdb@amywv.yzk',21194),
('kfzxcymtdb@amywv.yzk',26399),
('kfzxcymtdb@amywv.yzk',28317),
('kfzxcymtdb@amywv.yzk',30),
('kfzxcymtdb@amywv.yzk',30855),
('kfzxcymtdb@amywv.yzk',31045),
('kfzxcymtdb@amywv.yzk',31470),
('kfzxcymtdb@amywv.yzk',32527),
('kfzxcymtdb@amywv.yzk',34791),
('kfzxcymtdb@amywv.yzk',35823),
('kfzxcymtdb@amywv.yzk',36128),
('kfzxcymtdb@amywv.yzk',40227),
('kfzxcymtdb@amywv.yzk',4133),
('kfzxcymtdb@amywv.yzk',41544),
('kfzxcymtdb@amywv.yzk',41827),
('kfzxcymtdb@amywv.yzk',42463),
('kfzxcymtdb@amywv.yzk',44881),
('kfzxcymtdb@amywv.yzk',53664),
('kfzxcymtdb@amywv.yzk',55460),
('kfzxcymtdb@amywv.yzk',57363),
('kfzxcymtdb@amywv.yzk',57748),
('kfzxcymtdb@amywv.yzk',60118),
('kfzxcymtdb@amywv.yzk',60805),
('kfzxcymtdb@amywv.yzk',63380),
('kfzxcymtdb@amywv.yzk',66949),
('kfzxcymtdb@amywv.yzk',68439),
('kfzxcymtdb@amywv.yzk',69604),
('kfzxcymtdb@amywv.yzk',81923),
('kfzxcymtdb@amywv.yzk',85272),
('kfzxcymtdb@amywv.yzk',85821),
('kfzxcymtdb@amywv.yzk',87418),
('kfzxcymtdb@amywv.yzk',89071),
('kfzxcymtdb@amywv.yzk',9867),
('lgttwgthvs@qiagl.dve',12127),
('lgttwgthvs@qiagl.dve',14676),
('lgttwgthvs@qiagl.dve',20198),
('lgttwgthvs@qiagl.dve',20323),
('lgttwgthvs@qiagl.dve',24872),
('lgttwgthvs@qiagl.dve',25044),
('lgttwgthvs@qiagl.dve',25728),
('lgttwgthvs@qiagl.dve',26560),
('lgttwgthvs@qiagl.dve',2787),
('lgttwgthvs@qiagl.dve',30),
('lgttwgthvs@qiagl.dve',31045),
('lgttwgthvs@qiagl.dve',32527),
('lgttwgthvs@qiagl.dve',33777),
('lgttwgthvs@qiagl.dve',35823),
('lgttwgthvs@qiagl.dve',36128),
('lgttwgthvs@qiagl.dve',3654),
('lgttwgthvs@qiagl.dve',4133),
('lgttwgthvs@qiagl.dve',41827),
('lgttwgthvs@qiagl.dve',41859),
('lgttwgthvs@qiagl.dve',4206),
('lgttwgthvs@qiagl.dve',43095),
('lgttwgthvs@qiagl.dve',45142),
('lgttwgthvs@qiagl.dve',46808),
('lgttwgthvs@qiagl.dve',53664),
('lgttwgthvs@qiagl.dve',54915),
('lgttwgthvs@qiagl.dve',56142),
('lgttwgthvs@qiagl.dve',56409),
('lgttwgthvs@qiagl.dve',57748),
('lgttwgthvs@qiagl.dve',58467),
('lgttwgthvs@qiagl.dve',60876),
('lgttwgthvs@qiagl.dve',61541),
('lgttwgthvs@qiagl.dve',62921),
('lgttwgthvs@qiagl.dve',66376),
('lgttwgthvs@qiagl.dve',66949),
('lgttwgthvs@qiagl.dve',69604),
('lgttwgthvs@qiagl.dve',71360),
('lgttwgthvs@qiagl.dve',71843),
('lgttwgthvs@qiagl.dve',71866),
('lgttwgthvs@qiagl.dve',72549),
('lgttwgthvs@qiagl.dve',75337),
('lgttwgthvs@qiagl.dve',77626),
('lgttwgthvs@qiagl.dve',78220),
('lgttwgthvs@qiagl.dve',79031),
('lgttwgthvs@qiagl.dve',829),
('lgttwgthvs@qiagl.dve',84932),
('lgttwgthvs@qiagl.dve',85350),
('lgttwgthvs@qiagl.dve',85821),
('lgttwgthvs@qiagl.dve',85839),
('lgttwgthvs@qiagl.dve',88173),
('lgttwgthvs@qiagl.dve',88735),
('lgttwgthvs@qiagl.dve',88837),
('lgttwgthvs@qiagl.dve',93581),
('lgttwgthvs@qiagl.dve',94413),
('lgttwgthvs@qiagl.dve',94430),
('lgttwgthvs@qiagl.dve',95080),
('lgttwgthvs@qiagl.dve',95540),
('lgttwgthvs@qiagl.dve',9867),
('ljcnguamag@cxqpi.wxz',12127),
('ljcnguamag@cxqpi.wxz',14239),
('ljcnguamag@cxqpi.wxz',14676),
('ljcnguamag@cxqpi.wxz',20198),
('ljcnguamag@cxqpi.wxz',20592),
('ljcnguamag@cxqpi.wxz',21086),
('ljcnguamag@cxqpi.wxz',21194),
('ljcnguamag@cxqpi.wxz',24872),
('ljcnguamag@cxqpi.wxz',25044),
('ljcnguamag@cxqpi.wxz',2719),
('ljcnguamag@cxqpi.wxz',30855),
('ljcnguamag@cxqpi.wxz',31045),
('ljcnguamag@cxqpi.wxz',31470),
('ljcnguamag@cxqpi.wxz',33777),
('ljcnguamag@cxqpi.wxz',36011),
('ljcnguamag@cxqpi.wxz',36128),
('ljcnguamag@cxqpi.wxz',3654),
('ljcnguamag@cxqpi.wxz',36691),
('ljcnguamag@cxqpi.wxz',39314),
('ljcnguamag@cxqpi.wxz',40227),
('ljcnguamag@cxqpi.wxz',40295),
('ljcnguamag@cxqpi.wxz',4133),
('ljcnguamag@cxqpi.wxz',41827),
('ljcnguamag@cxqpi.wxz',41859),
('ljcnguamag@cxqpi.wxz',4206),
('ljcnguamag@cxqpi.wxz',44881),
('ljcnguamag@cxqpi.wxz',55615),
('ljcnguamag@cxqpi.wxz',56142),
('ljcnguamag@cxqpi.wxz',56409),
('ljcnguamag@cxqpi.wxz',57363),
('ljcnguamag@cxqpi.wxz',57748),
('ljcnguamag@cxqpi.wxz',57770),
('ljcnguamag@cxqpi.wxz',58467),
('ljcnguamag@cxqpi.wxz',60876),
('ljcnguamag@cxqpi.wxz',61541),
('ljcnguamag@cxqpi.wxz',63380),
('ljcnguamag@cxqpi.wxz',66376),
('ljcnguamag@cxqpi.wxz',66949),
('ljcnguamag@cxqpi.wxz',68439),
('ljcnguamag@cxqpi.wxz',71360),
('ljcnguamag@cxqpi.wxz',71843),
('ljcnguamag@cxqpi.wxz',72549),
('ljcnguamag@cxqpi.wxz',77626),
('ljcnguamag@cxqpi.wxz',79031),
('ljcnguamag@cxqpi.wxz',81102),
('ljcnguamag@cxqpi.wxz',81173),
('ljcnguamag@cxqpi.wxz',81923),
('ljcnguamag@cxqpi.wxz',829),
('ljcnguamag@cxqpi.wxz',84932),
('ljcnguamag@cxqpi.wxz',85272),
('ljcnguamag@cxqpi.wxz',85350),
('ljcnguamag@cxqpi.wxz',85821),
('ljcnguamag@cxqpi.wxz',85839),
('ljcnguamag@cxqpi.wxz',87418),
('ljcnguamag@cxqpi.wxz',88173),
('ljcnguamag@cxqpi.wxz',88837),
('ljcnguamag@cxqpi.wxz',89071),
('ljcnguamag@cxqpi.wxz',93581),
('ljcnguamag@cxqpi.wxz',94413),
('ljcnguamag@cxqpi.wxz',95080),
('ljcnguamag@cxqpi.wxz',95540),
('ljcnguamag@cxqpi.wxz',98186),
('mfsfzadrmt@pdyaf.uua',12127),
('mfsfzadrmt@pdyaf.uua',13583),
('mfsfzadrmt@pdyaf.uua',14239),
('mfsfzadrmt@pdyaf.uua',20198),
('mfsfzadrmt@pdyaf.uua',20323),
('mfsfzadrmt@pdyaf.uua',20592),
('mfsfzadrmt@pdyaf.uua',21086),
('mfsfzadrmt@pdyaf.uua',21194),
('mfsfzadrmt@pdyaf.uua',22684),
('mfsfzadrmt@pdyaf.uua',24872),
('mfsfzadrmt@pdyaf.uua',25728),
('mfsfzadrmt@pdyaf.uua',26560),
('mfsfzadrmt@pdyaf.uua',2719),
('mfsfzadrmt@pdyaf.uua',28317),
('mfsfzadrmt@pdyaf.uua',32527),
('mfsfzadrmt@pdyaf.uua',36011),
('mfsfzadrmt@pdyaf.uua',36128),
('mfsfzadrmt@pdyaf.uua',36691),
('mfsfzadrmt@pdyaf.uua',40295),
('mfsfzadrmt@pdyaf.uua',41544),
('mfsfzadrmt@pdyaf.uua',41827),
('mfsfzadrmt@pdyaf.uua',42463),
('mfsfzadrmt@pdyaf.uua',44818),
('mfsfzadrmt@pdyaf.uua',54915),
('mfsfzadrmt@pdyaf.uua',55615),
('mfsfzadrmt@pdyaf.uua',56142),
('mfsfzadrmt@pdyaf.uua',56409),
('mfsfzadrmt@pdyaf.uua',57032),
('mfsfzadrmt@pdyaf.uua',57363),
('mfsfzadrmt@pdyaf.uua',57748),
('mfsfzadrmt@pdyaf.uua',57770),
('mfsfzadrmt@pdyaf.uua',58467),
('mfsfzadrmt@pdyaf.uua',60118),
('mfsfzadrmt@pdyaf.uua',60805),
('mfsfzadrmt@pdyaf.uua',66949),
('mfsfzadrmt@pdyaf.uua',68320),
('mfsfzadrmt@pdyaf.uua',68439),
('mfsfzadrmt@pdyaf.uua',69604),
('mfsfzadrmt@pdyaf.uua',71843),
('mfsfzadrmt@pdyaf.uua',71866),
('mfsfzadrmt@pdyaf.uua',72549),
('mfsfzadrmt@pdyaf.uua',73500),
('mfsfzadrmt@pdyaf.uua',75337),
('mfsfzadrmt@pdyaf.uua',78220),
('mfsfzadrmt@pdyaf.uua',81102),
('mfsfzadrmt@pdyaf.uua',81923),
('mfsfzadrmt@pdyaf.uua',85272),
('mfsfzadrmt@pdyaf.uua',85350),
('mfsfzadrmt@pdyaf.uua',85821),
('mfsfzadrmt@pdyaf.uua',88173),
('mfsfzadrmt@pdyaf.uua',88735),
('mfsfzadrmt@pdyaf.uua',93581),
('mfsfzadrmt@pdyaf.uua',94413),
('mfsfzadrmt@pdyaf.uua',95080),
('mfsfzadrmt@pdyaf.uua',95540),
('mfsfzadrmt@pdyaf.uua',98186),
('mfsfzadrmt@pdyaf.uua',9867),
('mgupqvpwep@zxgeq.czd',12127),
('mgupqvpwep@zxgeq.czd',20198),
('mgupqvpwep@zxgeq.czd',20323),
('mgupqvpwep@zxgeq.czd',26560),
('mgupqvpwep@zxgeq.czd',2787),
('mgupqvpwep@zxgeq.czd',30855),
('mgupqvpwep@zxgeq.czd',31045),
('mgupqvpwep@zxgeq.czd',31470),
('mgupqvpwep@zxgeq.czd',36691),
('mgupqvpwep@zxgeq.czd',4206),
('mgupqvpwep@zxgeq.czd',42463),
('mgupqvpwep@zxgeq.czd',43095),
('mgupqvpwep@zxgeq.czd',44818),
('mgupqvpwep@zxgeq.czd',46808),
('mgupqvpwep@zxgeq.czd',53664),
('mgupqvpwep@zxgeq.czd',58467),
('mgupqvpwep@zxgeq.czd',60805),
('mgupqvpwep@zxgeq.czd',60876),
('mgupqvpwep@zxgeq.czd',62921),
('mgupqvpwep@zxgeq.czd',63380),
('mgupqvpwep@zxgeq.czd',66949),
('mgupqvpwep@zxgeq.czd',68320),
('mgupqvpwep@zxgeq.czd',68439),
('mgupqvpwep@zxgeq.czd',71866),
('mgupqvpwep@zxgeq.czd',73147),
('mgupqvpwep@zxgeq.czd',77626),
('mgupqvpwep@zxgeq.czd',78220),
('mgupqvpwep@zxgeq.czd',79031),
('mgupqvpwep@zxgeq.czd',81102),
('mgupqvpwep@zxgeq.czd',829),
('mgupqvpwep@zxgeq.czd',84932),
('mgupqvpwep@zxgeq.czd',85272),
('mgupqvpwep@zxgeq.czd',88735),
('mgupqvpwep@zxgeq.czd',93581),
('mgupqvpwep@zxgeq.czd',94413),
('mgupqvpwep@zxgeq.czd',94430),
('mgupqvpwep@zxgeq.czd',95540),
('mgupqvpwep@zxgeq.czd',9867),
('mkuamvaedq@ecqib.qqa',12127),
('mkuamvaedq@ecqib.qqa',13583),
('mkuamvaedq@ecqib.qqa',14676),
('mkuamvaedq@ecqib.qqa',16673),
('mkuamvaedq@ecqib.qqa',18412),
('mkuamvaedq@ecqib.qqa',20198),
('mkuamvaedq@ecqib.qqa',21086),
('mkuamvaedq@ecqib.qqa',21194),
('mkuamvaedq@ecqib.qqa',21831),
('mkuamvaedq@ecqib.qqa',22684),
('mkuamvaedq@ecqib.qqa',24872),
('mkuamvaedq@ecqib.qqa',26399),
('mkuamvaedq@ecqib.qqa',2719),
('mkuamvaedq@ecqib.qqa',2787),
('mkuamvaedq@ecqib.qqa',30),
('mkuamvaedq@ecqib.qqa',30855),
('mkuamvaedq@ecqib.qqa',31045),
('mkuamvaedq@ecqib.qqa',31470),
('mkuamvaedq@ecqib.qqa',32527),
('mkuamvaedq@ecqib.qqa',33777),
('mkuamvaedq@ecqib.qqa',34791),
('mkuamvaedq@ecqib.qqa',3654),
('mkuamvaedq@ecqib.qqa',39314),
('mkuamvaedq@ecqib.qqa',40227),
('mkuamvaedq@ecqib.qqa',4133),
('mkuamvaedq@ecqib.qqa',41544),
('mkuamvaedq@ecqib.qqa',4206),
('mkuamvaedq@ecqib.qqa',42463),
('mkuamvaedq@ecqib.qqa',44818),
('mkuamvaedq@ecqib.qqa',46808),
('mkuamvaedq@ecqib.qqa',53664),
('mkuamvaedq@ecqib.qqa',55460),
('mkuamvaedq@ecqib.qqa',55615),
('mkuamvaedq@ecqib.qqa',56409),
('mkuamvaedq@ecqib.qqa',57032),
('mkuamvaedq@ecqib.qqa',57363),
('mkuamvaedq@ecqib.qqa',58467),
('mkuamvaedq@ecqib.qqa',60118),
('mkuamvaedq@ecqib.qqa',60876),
('mkuamvaedq@ecqib.qqa',62921),
('mkuamvaedq@ecqib.qqa',63380),
('mkuamvaedq@ecqib.qqa',69604),
('mkuamvaedq@ecqib.qqa',71360),
('mkuamvaedq@ecqib.qqa',71843),
('mkuamvaedq@ecqib.qqa',72549),
('mkuamvaedq@ecqib.qqa',73147),
('mkuamvaedq@ecqib.qqa',75337),
('mkuamvaedq@ecqib.qqa',77626),
('mkuamvaedq@ecqib.qqa',81923),
('mkuamvaedq@ecqib.qqa',84932),
('mkuamvaedq@ecqib.qqa',85272),
('mkuamvaedq@ecqib.qqa',87418),
('mkuamvaedq@ecqib.qqa',88173),
('mkuamvaedq@ecqib.qqa',95540),
('mkuamvaedq@ecqib.qqa',98186),
('mkuamvaedq@ecqib.qqa',9867),
('mxbsavxszk@qdgdd.nsj',12127),
('mxbsavxszk@qdgdd.nsj',13583),
('mxbsavxszk@qdgdd.nsj',14239),
('mxbsavxszk@qdgdd.nsj',14676),
('mxbsavxszk@qdgdd.nsj',18412),
('mxbsavxszk@qdgdd.nsj',20592),
('mxbsavxszk@qdgdd.nsj',21831),
('mxbsavxszk@qdgdd.nsj',22684),
('mxbsavxszk@qdgdd.nsj',24872),
('mxbsavxszk@qdgdd.nsj',26399),
('mxbsavxszk@qdgdd.nsj',30855),
('mxbsavxszk@qdgdd.nsj',31045),
('mxbsavxszk@qdgdd.nsj',33777),
('mxbsavxszk@qdgdd.nsj',34791),
('mxbsavxszk@qdgdd.nsj',35823),
('mxbsavxszk@qdgdd.nsj',36691),
('mxbsavxszk@qdgdd.nsj',39314),
('mxbsavxszk@qdgdd.nsj',40227),
('mxbsavxszk@qdgdd.nsj',40295),
('mxbsavxszk@qdgdd.nsj',4133),
('mxbsavxszk@qdgdd.nsj',4206),
('mxbsavxszk@qdgdd.nsj',42463),
('mxbsavxszk@qdgdd.nsj',43095),
('mxbsavxszk@qdgdd.nsj',45142),
('mxbsavxszk@qdgdd.nsj',53664),
('mxbsavxszk@qdgdd.nsj',55460),
('mxbsavxszk@qdgdd.nsj',56142),
('mxbsavxszk@qdgdd.nsj',56409),
('mxbsavxszk@qdgdd.nsj',57363),
('mxbsavxszk@qdgdd.nsj',57748),
('mxbsavxszk@qdgdd.nsj',58467),
('mxbsavxszk@qdgdd.nsj',60118),
('mxbsavxszk@qdgdd.nsj',60805),
('mxbsavxszk@qdgdd.nsj',60876),
('mxbsavxszk@qdgdd.nsj',62921),
('mxbsavxszk@qdgdd.nsj',66949),
('mxbsavxszk@qdgdd.nsj',68439),
('mxbsavxszk@qdgdd.nsj',69604),
('mxbsavxszk@qdgdd.nsj',71360),
('mxbsavxszk@qdgdd.nsj',71843),
('mxbsavxszk@qdgdd.nsj',71866),
('mxbsavxszk@qdgdd.nsj',73147),
('mxbsavxszk@qdgdd.nsj',73500),
('mxbsavxszk@qdgdd.nsj',77626),
('mxbsavxszk@qdgdd.nsj',81923),
('mxbsavxszk@qdgdd.nsj',829),
('mxbsavxszk@qdgdd.nsj',84932),
('mxbsavxszk@qdgdd.nsj',85350),
('mxbsavxszk@qdgdd.nsj',85839),
('mxbsavxszk@qdgdd.nsj',88173),
('mxbsavxszk@qdgdd.nsj',88735),
('mxbsavxszk@qdgdd.nsj',89071),
('mxbsavxszk@qdgdd.nsj',94413),
('mxbsavxszk@qdgdd.nsj',94430),
('mxbsavxszk@qdgdd.nsj',95080),
('mxbsavxszk@qdgdd.nsj',95540),
('mxbsavxszk@qdgdd.nsj',9867),
('myjdvydcri@cwvyf.jjj',12127),
('myjdvydcri@cwvyf.jjj',16673),
('myjdvydcri@cwvyf.jjj',18412),
('myjdvydcri@cwvyf.jjj',20198),
('myjdvydcri@cwvyf.jjj',20323),
('myjdvydcri@cwvyf.jjj',20592),
('myjdvydcri@cwvyf.jjj',21086),
('myjdvydcri@cwvyf.jjj',21194),
('myjdvydcri@cwvyf.jjj',21831),
('myjdvydcri@cwvyf.jjj',22684),
('myjdvydcri@cwvyf.jjj',25728),
('myjdvydcri@cwvyf.jjj',2719),
('myjdvydcri@cwvyf.jjj',28317),
('myjdvydcri@cwvyf.jjj',30),
('myjdvydcri@cwvyf.jjj',31470),
('myjdvydcri@cwvyf.jjj',32527),
('myjdvydcri@cwvyf.jjj',34791),
('myjdvydcri@cwvyf.jjj',35823),
('myjdvydcri@cwvyf.jjj',36011),
('myjdvydcri@cwvyf.jjj',39314),
('myjdvydcri@cwvyf.jjj',4133),
('myjdvydcri@cwvyf.jjj',41544),
('myjdvydcri@cwvyf.jjj',42463),
('myjdvydcri@cwvyf.jjj',43095),
('myjdvydcri@cwvyf.jjj',44818),
('myjdvydcri@cwvyf.jjj',44881),
('myjdvydcri@cwvyf.jjj',46808),
('myjdvydcri@cwvyf.jjj',53664),
('myjdvydcri@cwvyf.jjj',55615),
('myjdvydcri@cwvyf.jjj',56142),
('myjdvydcri@cwvyf.jjj',57032),
('myjdvydcri@cwvyf.jjj',57363),
('myjdvydcri@cwvyf.jjj',57748),
('myjdvydcri@cwvyf.jjj',60118),
('myjdvydcri@cwvyf.jjj',60805),
('myjdvydcri@cwvyf.jjj',60876),
('myjdvydcri@cwvyf.jjj',63380),
('myjdvydcri@cwvyf.jjj',66376),
('myjdvydcri@cwvyf.jjj',66949),
('myjdvydcri@cwvyf.jjj',68439),
('myjdvydcri@cwvyf.jjj',71360),
('myjdvydcri@cwvyf.jjj',71866),
('myjdvydcri@cwvyf.jjj',73147),
('myjdvydcri@cwvyf.jjj',73500),
('myjdvydcri@cwvyf.jjj',75337),
('myjdvydcri@cwvyf.jjj',78220),
('myjdvydcri@cwvyf.jjj',79031),
('myjdvydcri@cwvyf.jjj',81102),
('myjdvydcri@cwvyf.jjj',829),
('myjdvydcri@cwvyf.jjj',85350),
('myjdvydcri@cwvyf.jjj',85839),
('myjdvydcri@cwvyf.jjj',88735),
('myjdvydcri@cwvyf.jjj',89071),
('myjdvydcri@cwvyf.jjj',93581),
('myjdvydcri@cwvyf.jjj',94413),
('myjdvydcri@cwvyf.jjj',95080),
('myjdvydcri@cwvyf.jjj',95540),
('myjdvydcri@cwvyf.jjj',98186),
('nhesjxgnha@dubri.pbh',12127),
('nhesjxgnha@dubri.pbh',14239),
('nhesjxgnha@dubri.pbh',16673),
('nhesjxgnha@dubri.pbh',18412),
('nhesjxgnha@dubri.pbh',20323),
('nhesjxgnha@dubri.pbh',20592),
('nhesjxgnha@dubri.pbh',21831),
('nhesjxgnha@dubri.pbh',22684),
('nhesjxgnha@dubri.pbh',25728),
('nhesjxgnha@dubri.pbh',2719),
('nhesjxgnha@dubri.pbh',30855),
('nhesjxgnha@dubri.pbh',32527),
('nhesjxgnha@dubri.pbh',33777),
('nhesjxgnha@dubri.pbh',34791),
('nhesjxgnha@dubri.pbh',35823),
('nhesjxgnha@dubri.pbh',36011),
('nhesjxgnha@dubri.pbh',36128),
('nhesjxgnha@dubri.pbh',3654),
('nhesjxgnha@dubri.pbh',36691),
('nhesjxgnha@dubri.pbh',39314),
('nhesjxgnha@dubri.pbh',40295),
('nhesjxgnha@dubri.pbh',4133),
('nhesjxgnha@dubri.pbh',41859),
('nhesjxgnha@dubri.pbh',43095),
('nhesjxgnha@dubri.pbh',44818),
('nhesjxgnha@dubri.pbh',44881),
('nhesjxgnha@dubri.pbh',46808),
('nhesjxgnha@dubri.pbh',53664),
('nhesjxgnha@dubri.pbh',55460),
('nhesjxgnha@dubri.pbh',55615),
('nhesjxgnha@dubri.pbh',56409),
('nhesjxgnha@dubri.pbh',57748),
('nhesjxgnha@dubri.pbh',58467),
('nhesjxgnha@dubri.pbh',60118),
('nhesjxgnha@dubri.pbh',60805),
('nhesjxgnha@dubri.pbh',60876),
('nhesjxgnha@dubri.pbh',66376),
('nhesjxgnha@dubri.pbh',66949),
('nhesjxgnha@dubri.pbh',68320),
('nhesjxgnha@dubri.pbh',68439),
('nhesjxgnha@dubri.pbh',69604),
('nhesjxgnha@dubri.pbh',71360),
('nhesjxgnha@dubri.pbh',71843),
('nhesjxgnha@dubri.pbh',72549),
('nhesjxgnha@dubri.pbh',73147),
('nhesjxgnha@dubri.pbh',75337),
('nhesjxgnha@dubri.pbh',78220),
('nhesjxgnha@dubri.pbh',79031),
('nhesjxgnha@dubri.pbh',81173),
('nhesjxgnha@dubri.pbh',84932),
('nhesjxgnha@dubri.pbh',88837),
('nhesjxgnha@dubri.pbh',89071),
('nhesjxgnha@dubri.pbh',94413),
('nhesjxgnha@dubri.pbh',94430),
('nhesjxgnha@dubri.pbh',95080),
('nhesjxgnha@dubri.pbh',95540),
('nhesjxgnha@dubri.pbh',9867),
('npnixxlbqq@cdoov.ebj',12127),
('npnixxlbqq@cdoov.ebj',16673),
('npnixxlbqq@cdoov.ebj',20592),
('npnixxlbqq@cdoov.ebj',21086),
('npnixxlbqq@cdoov.ebj',21194),
('npnixxlbqq@cdoov.ebj',21831),
('npnixxlbqq@cdoov.ebj',22684),
('npnixxlbqq@cdoov.ebj',25728),
('npnixxlbqq@cdoov.ebj',2787),
('npnixxlbqq@cdoov.ebj',30855),
('npnixxlbqq@cdoov.ebj',31045),
('npnixxlbqq@cdoov.ebj',31470),
('npnixxlbqq@cdoov.ebj',33777),
('npnixxlbqq@cdoov.ebj',34791),
('npnixxlbqq@cdoov.ebj',36011),
('npnixxlbqq@cdoov.ebj',36128),
('npnixxlbqq@cdoov.ebj',3654),
('npnixxlbqq@cdoov.ebj',36691),
('npnixxlbqq@cdoov.ebj',39314),
('npnixxlbqq@cdoov.ebj',4133),
('npnixxlbqq@cdoov.ebj',41544),
('npnixxlbqq@cdoov.ebj',41859),
('npnixxlbqq@cdoov.ebj',42463),
('npnixxlbqq@cdoov.ebj',44881),
('npnixxlbqq@cdoov.ebj',45142),
('npnixxlbqq@cdoov.ebj',53664),
('npnixxlbqq@cdoov.ebj',54915),
('npnixxlbqq@cdoov.ebj',57363),
('npnixxlbqq@cdoov.ebj',60805),
('npnixxlbqq@cdoov.ebj',60876),
('npnixxlbqq@cdoov.ebj',66949),
('npnixxlbqq@cdoov.ebj',68320),
('npnixxlbqq@cdoov.ebj',71843),
('npnixxlbqq@cdoov.ebj',71866),
('npnixxlbqq@cdoov.ebj',73500),
('npnixxlbqq@cdoov.ebj',75337),
('npnixxlbqq@cdoov.ebj',78220),
('npnixxlbqq@cdoov.ebj',81102),
('npnixxlbqq@cdoov.ebj',81173),
('npnixxlbqq@cdoov.ebj',84932),
('npnixxlbqq@cdoov.ebj',85272),
